Time,Tag_Group,Equipment,Tag_Name,Value,Quality,Source_File
2025-10-20 08:48:50.519,WeighFeeder,Other,Rolling_Avg,118.86,Good,WF with current data.csv
2025-10-20 08:48:57.519,WeighFeeder,FEB_002,Feedrate,-183.82,Good,WF with current data.csv
2025-10-20 08:48:57.519,WeighFeeder,FEB_002,Belt_Speed,0.12,Good,WF with current data.csv
2025-10-20 08:48:57.520,WeighFeeder,CVB_109,Motor_Current,25.85,Good,WF with current data.csv
2025-10-20 08:48:57.520,WeighFeeder,CVB_13A,Motor_Current,17.11,Good,WF with current data.csv
2025-10-20 08:48:58.523,WeighFeeder,CVB_13A,Motor_Current,16.91,Good,WF with current data.csv
2025-10-20 08:48:58.523,WeighFeeder,FEB_002,Belt_Speed,0.02,Good,WF with current data.csv
2025-10-20 08:48:58.523,WeighFeeder,CVB_109,Motor_Current,25.94,Good,WF with current data.csv
2025-10-20 08:48:59.516,WeighFeeder,FEB_002,Load,1.07,Good,WF with current data.csv
2025-10-20 08:49:00.517,WeighFeeder,FEB_002,Load,140.56,Good,WF with current data.csv
2025-10-20 08:49:00.517,WeighFeeder,Other,Rolling_Avg,120.68,Good,WF with current data.csv
2025-10-20 08:49:06.514,WeighFeeder,FEB_002,Setpoint,0.0,Good,WF with current data.csv
2025-10-20 08:49:09.517,WeighFeeder,FEB_002,Feedrate,0.0,Good,WF with current data.csv
2025-10-20 08:49:15.844,WeighFeeder,Other,Other,1.0,Good,WF with current data.csv
2025-10-20 08:49:15.844,WeighFeeder,FEB_002,Belt_Speed,0.33,Good,WF with current data.csv
2025-10-20 08:49:15.844,WeighFeeder,CVB_109,Motor_Current,27.92,Good,WF with current data.csv
2025-10-20 08:49:15.844,WeighFeeder,FEB_002,Feedrate,0.0,Good,WF with current data.csv
2025-10-20 08:49:15.844,WeighFeeder,CVB_13A,Motor_Current,17.31,Good,WF with current data.csv
2025-10-20 08:49:15.844,WeighFeeder,Other,Rolling_Avg,121.74,Good,WF with current data.csv
2025-10-20 08:49:15.844,WeighFeeder,FEB_002,Setpoint,0.0,Good,WF with current data.csv
2025-10-20 08:49:16.514,WeighFeeder,CVB_13A,Motor_Current,16.82,Good,WF with current data.csv
2025-10-20 08:49:16.514,WeighFeeder,FEB_002,Belt_Speed,0.01,Good,WF with current data.csv
2025-10-20 08:49:16.514,WeighFeeder,CVB_109,Motor_Current,26.94,Good,WF with current data.csv
2025-10-20 08:49:18.522,WeighFeeder,FEB_002,Load,3.8,Good,WF with current data.csv
2025-10-20 08:49:19.515,WeighFeeder,FEB_002,Load,140.41,Good,WF with current data.csv
2025-10-20 08:49:19.515,WeighFeeder,Other,Rolling_Avg,130.38,Good,WF with current data.csv
2025-10-20 08:49:30.521,WeighFeeder,Other,Rolling_Avg,130.93,Good,WF with current data.csv
2025-10-20 08:49:33.515,WeighFeeder,FEB_002,Belt_Speed,0.0,Good,WF with current data.csv
2025-10-20 08:49:33.515,WeighFeeder,CVB_109,Motor_Current,28.53,Good,WF with current data.csv
2025-10-20 08:49:33.515,WeighFeeder,CVB_13A,Motor_Current,17.39,Good,WF with current data.csv
2025-10-20 08:49:34.514,WeighFeeder,FEB_002,Belt_Speed,0.0,Good,WF with current data.csv
2025-10-20 08:49:34.514,WeighFeeder,CVB_13A,Motor_Current,16.76,Good,WF with current data.csv
2025-10-20 08:49:34.514,WeighFeeder,CVB_109,Motor_Current,30.08,Good,WF with current data.csv
2025-10-20 08:49:36.514,WeighFeeder,FEB_002,Load,140.25,Good,WF with current data.csv
2025-10-20 08:49:37.518,WeighFeeder,FEB_002,Load,127.33,Good,WF with current data.csv
2025-10-20 08:49:40.517,WeighFeeder,Other,Rolling_Avg,131.58,Good,WF with current data.csv
2025-10-20 08:49:45.844,WeighFeeder,FEB_002,Feedrate,0.0,Good,WF with current data.csv
2025-10-20 08:49:45.844,WeighFeeder,FEB_002,Setpoint,0.0,Good,WF with current data.csv
2025-10-20 08:49:45.844,WeighFeeder,Other,Other,1.0,Good,WF with current data.csv
2025-10-20 08:49:50.515,WeighFeeder,Other,Rolling_Avg,132.38,Good,WF with current data.csv
2025-10-20 08:49:52.517,WeighFeeder,FEB_002,Belt_Speed,0.17,Good,WF with current data.csv
2025-10-20 08:49:52.517,WeighFeeder,CVB_13A,Motor_Current,17.28,Good,WF with current data.csv
2025-10-20 08:49:52.517,WeighFeeder,CVB_109,Motor_Current,27.82,Good,WF with current data.csv
2025-10-20 08:49:53.514,WeighFeeder,CVB_109,Motor_Current,30.5,Good,WF with current data.csv
